Date,Google,Walmart,Microsoft,Apple,Tesla,Gamestop,Amazon,Sony,Facebook,Intel
01-Feb-16,762.900024,68.489998,55.23,27.247499,45.953999,31.73,593.640015,25.719999,114.099998,46.295975
01-Mar-16,707.880005,66.870003,49.869999,23.434999,48.152,32.799999,659.590027,24.1,117.580002,44.588345
01-Apr-16,748.849976,70.779999,53,24.965,44.646,29.1,722.789978,27.860001,118.809998,43.863178
01-May-16,703.530029,73.019997,51.169998,23.9,42.456001,26.58,715.619995,29.35,114.279999,45.313519
01-Jun-16,791.340027,72.970001,56.68,26.0525,46.958,30.950001,758.809998,33.41,123.940002,45.476833
01-Jul-16,789.849976,71.440002,57.459999,26.525,42.402,28.389999,769.159973,32.16,126.120003,42.591549
01-Aug-16,804.059998,72.120003,57.599998,28.262501,40.806,27.59,837.309998,33.209999,128.270004,44.196606
01-Sep-16,809.900024,70.019997,59.919998,28.385,39.546001,24.049999,789.820007,31.33,130.990005,38.506973
01-Oct-16,775.880005,70.43,60.259998,27.629999,37.880001,24.690001,750.570007,29.07,118.419998,42.534657
01-Nov-16,792.450012,69.120003,62.139999,28.955,42.737999,25.26,749.869995,28.030001,115.050003,43.921867
01-Dec-16,820.190002,66.739998,64.650002,30.3375,50.386002,24.49,823.47998,30.27,130.320007,42.608467
01-Jan-17,844.929993,70.93,63.98,34.247501,49.998001,24.440001,845.039978,30.959999,135.539993,34.648129
01-Feb-17,847.799988,72.080002,65.860001,35.915001,55.66,22.549999,886.539978,33.73,142.050003,34.724762
01-Mar-17,924.52002,75.18,68.459999,35.912498,62.813999,22.690001,924.98999,34.52,150.25,35.33831
01-Apr-17,987.090027,78.599998,69.839996,38.189999,68.202003,22.139999,994.619995,36.619999,151.460007,33.908649
01-May-17,929.679993,75.68,68.93,36.005001,72.321999,21.610001,968,38.189999,150.979996,36.892689
01-Jun-17,945.5,79.989998,72.699997,37.182499,64.694,21.690001,987.780029,41.07,169.25,31.082167
01-Jul-17,955.23999,78.07,74.769997,41,71.18,18.5,980.599976,39.630001,171.970001,33.196602
01-Aug-17,973.719971,78.139999,74.489998,38.529999,68.220001,20.66,961.349976,37.34,170.869995,32.591103
01-Sep-17,1033.040039,87.309998,83.18,42.259998,66.306,18.690001,1105.280029,43.41,180.059998,26.71874
01-Oct-17,1036.170044,97.230003,84.169998,42.962502,61.77,18.75,1176.75,46.799999,177.179993,27.023787
01-Nov-17,1053.400024,98.75,85.540001,42.307499,62.27,17.950001,1169.469971,44.950001,176.460007,27.091181
01-Dec-17,1182.219971,106.599998,95.010002,41.857498,70.862,16.809999,1450.890015,47.939999,186.889999,26.909399
01-Jan-18,1103.920044,90.010002,93.769997,44.529999,68.612,15.69,1512.449951,50.459999,178.320007,22.046606
01-Feb-18,1037.140015,88.970001,91.269997,41.945,53.226002,12.62,1447.339966,48.34,159.789993,23.686831
01-Mar-18,1018.580017,88.459999,93.519997,41.314999,58.779999,13.65,1566.130005,45.830002,172,20.767323
01-Apr-18,1100,82.540001,98.839996,46.717499,56.945999,13.2,1629.619995,47.09,191.779999,20.196634
01-May-18,1129.189941,85.650002,98.610001,46.2775,68.589996,14.57,1699.800049,51.259998,194.320007,19.742018
01-Jun-18,1227.219971,89.230003,106.080002,47.572498,59.627998,14.41,1777.439941,54.02,172.580002,26.993059
01-Jul-18,1231.800049,95.860001,112.330002,56.907501,60.332001,13.27,2012.709961,56.830002,175.729996,27.187046
01-Aug-18,1207.079956,93.910004,114.370003,56.435001,52.953999,15.27,2003,60.650002,164.460007,26.84757
01-Sep-18,1090.579956,100.279999,106.809998,54.715,67.463997,14.6,1598.01001,54.130001,151.789993,31.104525
