Date,bse_index
01-Jan-14,20513.85
01-Feb-14,21120.12
01-Mar-14,22386.27
01-Apr-14,22417.8
01-May-14,24217.34
01-Jun-14,25413.78
01-Jul-14,25894.97
01-Aug-14,26638.11
01-Sep-14,26630.51
01-Oct-14,27865.83
01-Nov-14,28693.99
01-Dec-14,27499.42
01-Jan-15,29182.95
01-Feb-15,29361.5
01-Mar-15,27957.49
01-Apr-15,27011.31
01-May-15,27828.44
01-Jun-15,27780.83
01-Jul-15,28114.56
01-Aug-15,26283.09
01-Sep-15,26154.83
01-Oct-15,26656.83
01-Nov-15,26145.67
01-Dec-15,26117.54
01-Jan-16,24870.69
01-Feb-16,23002
01-Mar-16,25341.86
01-Apr-16,25606.62
01-May-16,26667.96
01-Jun-16,26999.72
01-Jul-16,28051.86
01-Aug-16,28452.17
01-Sep-16,27865.96
01-Oct-16,27930.21
01-Nov-16,26652.81
01-Dec-16,26626.46
01-Jan-17,27655.96
01-Feb-17,28743.32
01-Mar-17,29620.5
01-Apr-17,29918.4
01-May-17,31145.8
01-Jun-17,30921.61
01-Jul-17,32514.94
01-Aug-17,31730.49
01-Sep-17,31283.72
01-Oct-17,33213.13
01-Nov-17,33149.35
01-Dec-17,34056.83
01-Jan-18,35965.02
01-Feb-18,34184.04
01-Mar-18,32968.68
01-Apr-18,35160.36
01-May-18,35322.38
01-Jun-18,35423.48
01-Jul-18,37606.58
01-Aug-18,38645.07
01-Sep-18,36227.14
01-Oct-18,34442.05
01-Nov-18,36194.3
01-Dec-18,36068.33
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
