Date,Suzlon,Godfrey Phillips,Engineers India,Maharashtra Scooters,KEI Industries,Sun Pharma,Travencore,Responsive,Gujrat Raffia,VST Industries
01-Jan-14,10.75,511.26001,72.900002,410.649994,11.7,588.150024,20.200001,93.849998,2.8,1601.800049
01-Feb-14,10.07,663.049988,74.949997,516.200012,11.94,642.700012,21.299999,95.25,2.87,1600.150024
01-Mar-14,11.1,639.820007,112.5,458.549988,12.46,573.349976,20.549999,95.25,2.88,1648.650024
01-Apr-14,13.1,652.320007,113.849998,472.200012,19.540001,631.549988,20.85,89.5,3.47,1954.25
01-May-14,21.959999,610.820007,138.899994,509.549988,25.5,607.400024,31.200001,103.25,4.66,1807.849976
01-Jun-14,28.35,566.799988,161.774994,655.049988,30,686.25,39.049999,77.849998,6.53,1799.5
01-Jul-14,21.85,531.080017,140.25,702,31.9,790.700012,34.349998,69.150002,6.28,1529.400024
01-Aug-14,21.5,539.73999,117.599998,762.799988,31.15,854.549988,31.25,83.849998,4.52,1533.050049
01-Sep-14,12.95,570.070007,122.25,900.349976,33.099998,857.299988,30.299999,89.75,4.49,1626.5
01-Oct-14,13.45,596.820007,136.125,932.75,34.75,845.549988,29.950001,97.900002,5.5,1816.050049
01-Nov-14,14.07,617.299988,114.775002,1054.400024,46.049999,839.549988,35.200001,92.349998,5.57,1834.25
01-Dec-14,14.7,596.799988,114.875,1000.700012,48.349998,826.150024,33.950001,87,9.92,1894.550049
01-Jan-15,16.209999,590.400024,108.224998,987.299988,57.25,915.950012,32.099998,91.599998,6.6,1861.949951
01-Feb-15,27.85,479.100006,103.425003,811,56.549999,879.200012,33.799999,106.5,7.25,1734.050049
01-Mar-15,27.4,424.600006,97.125,883.75,62.400002,1022.25,28.1,124,5.83,1606.550049
01-Apr-15,23.9,485.899994,91.900002,868.25,71.5,939.400024,27.75,120.699997,8.37,1629.650024
01-May-15,25.200001,498.350006,105.300003,996.25,73.650002,965.75,26,137.899994,9,1668.099976
01-Jun-15,22.200001,457.549988,113.675003,1097.25,70.25,874.200012,21.75,129.399994,7.3,1631.5
01-Jul-15,21.9,556.099976,120.800003,1116.25,107,822.75,22.6,116.400002,5.71,1745.449951
01-Aug-15,22.049999,552.349976,93.824997,1001.75,104.599998,897.700012,18.799999,91,6.64,1501.400024
01-Sep-15,20.85,641.349976,95.400002,947,96.699997,868.450012,19.549999,82,6.06,1592.349976
01-Oct-15,24.6,943.400024,98.400002,1305.75,103.050003,889,19.65,81,6.65,1615.550049
01-Nov-15,21.65,1418.599976,109.025002,1499.5,112.699997,730.650024,21.4,83.949997,7.16,1688.75
01-Dec-15,20.85,1373.599976,120.625,1406.75,120.400002,819.950012,24.950001,110.699997,9.03,1684
01-Jan-16,20.299999,1221.900024,96.525002,1228,110.199997,873,21.5,110.5,7.6,1688
01-Feb-16,13.5,1075.900024,74.925003,1120.25,90.099998,855.049988,19.950001,88.199997,6.45,1535
01-Mar-16,14.15,1188.5,85.125,1215,98.199997,819.450012,21.1,83,7.2,1619.900024
01-Apr-16,14.99,905.099976,89.599998,1267.75,102.400002,811.299988,23.85,79,7.27,1631.650024
01-May-16,15.95,887.650024,89.650002,1295.75,107,762.700012,23.25,80.800003,8.48,1656.800049
01-Jun-16,17.450001,871.049988,101.75,1346.849976,112.199997,763.599976,26.25,81.300003,9.43,1700
