Date,SBI,Titan,Reliance,ICICI,Axis,L&T,Ultratech,ITC,ONGC,Infosys
01-Jan-14,145.224609,221.550003,415.424988,163.056671,223.910004,580.530884,1707.199951,187.210205,183.666672,385.396912
01-Feb-14,145.805298,242.199997,399.625,172.162094,253.179993,652.935242,1839.849976,188.592239,194.366669,397.976227
01-Mar-14,182.606461,262.450012,464.75,205.441498,292.089996,749.759155,2188.899902,203.247757,212.46666,341.58017
01-Apr-14,199.66983,254.75,467.649994,205.334274,303.839996,763.250244,2027.900024,196.222351,217.199997,330.990509
01-May-14,244.133194,310.75,532.575012,233.970215,367.230011,912.506775,2384.75,196.654221,252.166672,306.436096
01-Jun-14,259.454529,352.649994,507.350006,233.9785,384.279999,1002.467346,2599.449951,187.095032,282.466675,342.852295
01-Jul-14,235.676758,341.049988,503,250.796616,391.850006,886.113708,2421.850098,208.833496,263.566681,355.446045
01-Aug-14,237.676346,362.950012,499.625,265.022003,397.299988,899.545959,2546.899902,208.217926,290.100006,379.556458
01-Sep-14,235.927917,407.649994,472.674988,244.369186,377.799988,866.933838,2625.199951,217.363922,272.733337,395.783173
01-Oct-14,260.975983,393.200012,499.600006,276.753113,438.75,984.353027,2551.350098,208.27655,270.033325,427.866943
01-Nov-14,310.516632,370.049988,495.424988,298.742493,481.049988,975.579224,2490.050049,212.820236,253,463.924988
01-Dec-14,301.243164,381.25,445.575012,300.513245,502.049988,890.161926,2671.25,215.986176,227.46666,419.5625
01-Jan-15,299.456085,430.549988,457.674988,307.451416,588.700012,1011.269104,3139.800049,216.103394,234.300003,456.076111
01-Feb-15,289.747925,434.950012,427.825012,285.189606,567.150024,1046.036865,3121.199951,230.87767,216.600006,482.384033
01-Mar-15,257.91861,392,412.350006,268.418762,560.400024,1022.511292,2875,190.805359,204.53334,471.794952
01-Apr-15,260.864868,382.799988,431.424988,281.997162,567.849976,971.058777,2666.100098,188.92926,203.066666,413.432495
01-May-15,268.689392,377.5,438.575012,270.121399,585.25,984.650513,2976.649902,191.567505,219.96666,430.460175
01-Jun-15,257.067352,366.149994,500.225006,262.204193,558.650024,1060.431763,2991.399902,184.708023,206.433334,419.455994
01-Jul-15,264.501617,323.850006,500.825012,261.946716,573.75,1064.476563,3149.649902,195.068115,182.03334,465.870453
