Date,Suzlon,Godfrey Phillips,Engineers India,Maharashtra Scooters,KEI Industries,Sun Pharma,Travencore,Responsive,Heidelcore Cement,VST Industries
01-Jan-14,10.7,508.980011,72.974998,411.700012,11.9,588.700012,20.35,93.849998,33.650002,1601.800049
01-Feb-14,10.1,662.030029,75,514,11.95,644.700012,21.4,95.199997,34.900002,1600
01-Mar-14,11.1,641.049988,112.824997,455.450012,12.55,574.75,20.65,95.75,44.200001,1645.949951
01-Apr-14,13.05,655.950012,114.275002,466.950012,19.65,632.799988,20.549999,89.5,41.650002,1960.25
01-May-14,22,618.5,139.300003,508.350006,25.549999,610.650024,31.1,101.800003,56.049999,1815.5
01-Jun-14,28.35,566.309998,162.274994,653.849976,30,687.950012,39.099998,77.599998,63.25,1797.900024
01-Jul-14,21.700001,530.429993,139.899994,700.650024,31.950001,790.950012,34.400002,70,62.299999,1530.150024
01-Aug-14,21.549999,539.26001,116.974998,762.450012,31.15,855.25,31.450001,83.449997,68.800003,1530.5
01-Sep-14,12.9,568.210022,122.25,900.75,33.299999,857.25,30.299999,86.650002,87.099998,1628.25
01-Oct-14,13.45,595.789978,136.25,936.5,34.849998,845.400024,29.700001,97.400002,88.349998,1815.349976
01-Nov-14,14.05,616.450012,114.800003,1048.400024,46.099998,839.700012,35.299999,92.599998,86.5,1845.550049
01-Dec-14,14.7,598,115.175003,1004.700012,48.299999,826.549988,34.150002,84.75,81.400002,1901.849976
01-Jan-15,16.200001,590.599976,108.25,993.099976,57.400002,917.75,32.049999,90.949997,88.150002,1874.949951
01-Feb-15,27.799999,480.049988,103.5,810.450012,56.599998,878.900024,33.599998,105.900002,78.900002,1744.699951
01-Mar-15,27.35,421.5,96.574997,880.950012,62.25,1023.900024,28.1,118.400002,74.300003,1571.400024
01-Apr-15,23.799999,487.850006,91.775002,857.849976,71.599998,938.849976,27.700001,116.400002,70.150002,1621.099976
01-May-15,25.200001,496.700012,105.324997,996.299988,73.699997,966.099976,26.200001,137.399994,67.800003,1665.449951
01-Jun-15,22.200001,457.799988,113.699997,1107.349976,70,874.599976,21.799999,128.449997,72.75,1630.650024
01-Jul-15,21.9,560.549988,120.849998,1119.550049,107.199997,822.400024,22.75,114.900002,73.099998,1740.400024
01-Aug-15,22.1,550.25,93.699997,1006.299988,104.5,898.950012,18.85,92.349998,76.5,1494.349976
01-Sep-15,20.85,640.349976,95.574997,963,96.550003,868.400024,19.6,81.349998,73.400002,1604.599976
01-Oct-15,24.6,939.75,98.199997,1311.900024,102.900002,889.549988,19.6,81.050003,75.300003,1603.199951
01-Nov-15,21.700001,1415.699951,108.625,1499.400024,112.650002,729.5,21.25,82.75,76.300003,1689.800049
01-Dec-15,20.85,1368.349976,120.675003,1407.300049,120.25,820.150024,24.9,110.699997,80.800003,1698.300049
01-Jan-16,20.299999,1222.550049,96.324997,1219.550049,110.050003,872.950012,21.299999,107.5,70.099998,1697.300049
01-Feb-16,13.5,1074.099976,75.099998,1131.650024,90.199997,853.900024,19.65,89,64.199997,1512.800049
01-Mar-16,14.2,1188.449951,85.050003,1224.349976,98,820,21.299999,81.199997,81.199997,1655.349976
01-Apr-16,14.95,905.200012,89.650002,1265.150024,102.400002,811.299988,23.9,79,95.699997,1633.699951
