Date,HDFC ,TCS,Kotak Mahindra,Bharti Airtel,Nestle,Housing Development,Maruti,Asian Paints,HCL,Coal India
01-Jan-14,314.25,1120.525024,328.524994,289.226196,5047.149902,818.200012,1636.25,471.700012,365.549988,247.449997
01-Feb-14,334.799988,1137.875,342.25,264.068085,4864.5,818.200012,1589,473,393.887512,244
01-Mar-14,374.399994,1066.574951,390.524994,291.75119,5028.75,818.200012,1971.75,547.950012,347.674988,288.75
01-Apr-14,360.649994,1094.599976,401.299988,301.208405,4768.799805,818.200012,1923,505.149994,350.725006,291.850006
01-May-14,396.375,1070.675049,434.325012,315.94519,4961,818.200012,2271.800049,507.600006,354.637512,370.899994
01-Jun-14,410.774994,1212.699951,441.774994,309.33429,4929.75,818.200012,2439.350098,594,375.037506,384.950012
01-Jul-14,417,1290.025024,476.850006,342.388702,5128.350098,818.200012,2524.050049,628.650024,388.774994,367.700012
01-Aug-14,421.774994,1261.175049,518.775024,339.542358,6028.549805,818.200012,2784.5,624.200012,407.6875,356.100006
01-Sep-14,436.325012,1368.300049,506.549988,372.045868,5968.649902,818.200012,3062.850098,629.549988,428.6875,341.350006
01-Oct-14,455.924988,1303.925049,559.125,366.261353,6257.200195,818.200012,3337.25,657,402.100006,370.549988
01-Nov-14,478.575012,1321.5,601.25,351.019592,6204.049805,818.200012,3346.199951,744.700012,415.587494,355
01-Dec-14,475.799988,1279.125,631.950012,323.841522,6384.850098,818.200012,3329.800049,752.299988,399.225006,383.850006
01-Jan-15,538.674988,1241.025024,661.099976,343.12326,7113.049805,818.200012,3647.350098,857.75,447.9375,360.850006
01-Feb-15,527,1331.175049,668.875,326.136963,7020.899902,818.200012,3604.399902,807.150024,505.5,395.25
01-Mar-15,511.350006,1276.974976,656.625,361.119568,6947.350098,818.200012,3697.350098,811.299988,490.200012,362.899994
01-Apr-15,494.399994,1231.849976,666.450012,349.917786,6572.600098,818.200012,3725.850098,762.450012,440.274994,362.75
01-May-15,525.275024,1305.150024,699.650024,390.776703,6751.549805,818.200012,3785.699951,787.049988,505.375,391.049988
01-Jun-15,533.575012,1275.474976,692.900024,385.680817,6352.200195,818.200012,4023.350098,755.349976,459.875,421.25
01-Jul-15,555.825012,1255.375,695.400024,384.533112,6357.399902,818.200012,4331.450195,882.799988,499.125,439.049988
01-Aug-15,513.724976,1282.025024,651.700012,325.310608,5965.399902,818.200012,4167.200195,848.599976,485.524994,366.350006
01-Sep-15,534.400024,1294.025024,648.099976,310.206573,6367.649902,818.200012,4685.600098,841.599976,491.075012,327.600006
