Date,^BSESN
01-01-2014,21140.48047
02-01-2014,20888.33008
03-01-2014,20851.33008
06-01-2014,20787.30078
07-01-2014,20693.24023
08-01-2014,20729.38086
09-01-2014,20713.36914
10-01-2014,20758.49023
13-01-2014,21134.21094
14-01-2014,21032.88086
15-01-2014,21289.49023
16-01-2014,21265.17969
17-01-2014,21063.61914
20-01-2014,21205.05078
21-01-2014,21251.11914
22-01-2014,21337.66992
23-01-2014,21373.66016
24-01-2014,21133.56055
27-01-2014,20707.44922
28-01-2014,20683.50977
29-01-2014,20647.30078
30-01-2014,20498.25
31-01-2014,20513.84961
03-02-2014,20209.25977
04-02-2014,20211.92969
05-02-2014,20261.0293
06-02-2014,20310.74023
07-02-2014,20376.56055
10-02-2014,20334.26953
11-02-2014,20363.36914
12-02-2014,20448.49023
13-02-2014,20193.34961
14-02-2014,20366.82031
17-02-2014,20464.06055
18-02-2014,20634.21094
19-02-2014,20722.9707
20-02-2014,20536.64063
21-02-2014,20700.75
24-02-2014,20811.43945
25-02-2014,20852.4707
26-02-2014,20986.99023
28-02-2014,21120.11914
03-03-2014,20946.65039
04-03-2014,21209.73047
05-03-2014,21276.85938
06-03-2014,21513.86914
07-03-2014,21919.78906
10-03-2014,21934.83008
11-03-2014,21826.41992
12-03-2014,21856.2207
13-03-2014,21774.60938
14-03-2014,21809.80078
18-03-2014,21832.60938
19-03-2014,21832.85938
20-03-2014,21740.08984
21-03-2014,21753.75
22-03-2014,21753.75
24-03-2014,22055.48047
25-03-2014,22055.21094
26-03-2014,22095.30078
27-03-2014,22214.36914
28-03-2014,22339.9707
31-03-2014,22386.26953
01-04-2014,22446.43945
02-04-2014,22551.49023
03-04-2014,22509.07031
04-04-2014,22359.5
07-04-2014,22343.44922
09-04-2014,22702.33984
10-04-2014,22715.33008
11-04-2014,22628.96094
15-04-2014,22484.92969
16-04-2014,22277.23047
17-04-2014,22628.83984
21-04-2014,22764.83008
22-04-2014,22758.36914
23-04-2014,22876.53906
24-04-2014,22876.53906
25-04-2014,22688.07031
28-04-2014,22631.60938
29-04-2014,22466.18945
30-04-2014,22417.80078
02-05-2014,22403.89063
05-05-2014,22445.11914
06-05-2014,22508.41992
07-05-2014,22323.90039
08-05-2014,22344.03906
09-05-2014,22994.23047
12-05-2014,23551
13-05-2014,23871.23047
14-05-2014,23815.11914
15-05-2014,23905.59961
16-05-2014,24121.74023
19-05-2014,24363.05078
20-05-2014,24376.88086
21-05-2014,24298.01953
22-05-2014,24374.40039
23-05-2014,24693.34961
26-05-2014,24716.88086
27-05-2014,24549.50977
28-05-2014,24556.08984
29-05-2014,24234.15039
30-05-2014,24217.33984
02-06-2014,24684.84961
03-06-2014,24858.58984
04-06-2014,24805.83008
05-06-2014,25019.50977
06-06-2014,25396.46094
09-06-2014,25580.21094
10-06-2014,25583.68945
11-06-2014,25473.89063
12-06-2014,25576.21094
13-06-2014,25228.16992
16-06-2014,25190.48047
17-06-2014,25521.18945
18-06-2014,25246.25
19-06-2014,25201.80078
20-06-2014,25105.50977
23-06-2014,25031.32031
24-06-2014,25368.90039
25-06-2014,25313.74023
26-06-2014,25062.66992
27-06-2014,25099.91992
30-06-2014,25413.7793
01-07-2014,25516.34961
02-07-2014,25841.21094
03-07-2014,25823.75
04-07-2014,25962.06055
07-07-2014,26100.08008
08-07-2014,25582.10938
09-07-2014,25444.81055
10-07-2014,25372.75
11-07-2014,25024.34961
14-07-2014,25006.98047
15-07-2014,25228.65039
16-07-2014,25549.7207
17-07-2014,25561.16016
18-07-2014,25641.56055
21-07-2014,25715.16992
22-07-2014,26025.80078
23-07-2014,26147.33008
24-07-2014,26271.84961
25-07-2014,26126.75
28-07-2014,25991.23047
30-07-2014,26087.41992
31-07-2014,25894.9707
01-08-2014,25480.83984
04-08-2014,25723.16016
05-08-2014,25908.00977
06-08-2014,25665.26953
07-08-2014,25589.00977
08-08-2014,25329.14063
11-08-2014,25519.24023
12-08-2014,25880.76953
13-08-2014,25918.94922
14-08-2014,26103.23047
18-08-2014,26390.96094
19-08-2014,26420.66992
20-08-2014,26314.28906
21-08-2014,26360.10938
22-08-2014,26419.55078
25-08-2014,26437.01953
26-08-2014,26442.81055
