Date,^BSESN
2013-12-31,20693.240234375
2014-01-07,21032.880859375
2014-01-14,21251.119140625
2014-01-21,20683.509765625
2014-01-28,20211.9296875
2014-02-04,20363.369140625
2014-02-11,20634.2109375
2014-02-18,20852.470703125
2014-02-25,21209.73046875
2014-03-04,21826.419921875
2014-03-11,21832.609375
2014-03-18,22055.2109375
2014-03-25,22446.439453125
2014-04-01,22343.44921875
2014-04-08,22484.9296875
2014-04-15,22758.369140625
2014-04-22,22466.189453125
2014-04-29,22508.419921875
2014-05-06,23871.23046875
2014-05-13,24376.880859375
2014-05-20,24549.509765625
2014-05-27,24858.58984375
2014-06-03,25583.689453125
2014-06-10,25521.189453125
2014-06-17,25368.900390625
2014-06-24,25516.349609375
2014-07-01,25582.109375
2014-07-08,25228.650390625
2014-07-15,26025.80078125
2014-07-22,25991.23046875
2014-07-29,25908.009765625
2014-08-05,25880.76953125
2014-08-12,26420.669921875
2014-08-19,26442.810546875
2014-08-26,27019.390625
2014-09-02,27265.3203125
2014-09-09,26492.509765625
2014-09-16,26775.689453125
2014-09-23,26630.509765625
2014-09-30,26271.970703125
2014-10-07,26349.330078125
2014-10-14,26575.650390625
2014-10-21,26880.8203125
2014-10-28,27860.380859375
2014-11-04,27910.060546875
2014-11-11,28163.2890625
2014-11-18,28338.05078125
2014-11-25,28444.009765625
2014-12-02,27797.009765625
2014-12-09,26781.439453125
2014-12-16,27506.4609375
2014-12-23,27403.5390625
2014-12-30,26987.4609375
2015-01-06,27425.73046875
2015-01-13,28784.669921875
2015-01-20,29571.0390625
2015-01-27,29000.140625
2015-02-03,28355.619140625
2015-02-10,29135.880859375
2015-02-17,29004.66015625
2015-02-24,29593.73046875
2015-03-03,28709.869140625
2015-03-10,28736.380859375
2015-03-17,28161.720703125
2015-03-24,27957.490234375
2015-03-31,28516.58984375
2015-04-07,29044.439453125
2015-04-14,27676.0390625
2015-04-21,27396.380859375
2015-04-28,27440.140625
2015-05-05,26877.48046875
2015-05-12,27645.529296875
2015-05-19,27531.41015625
2015-05-26,27188.380859375
2015-06-02,26481.25
2015-06-09,26686.509765625
