Date,^NSEI
02-01-2014,6221.149902
03-01-2014,6211.149902
06-01-2014,6191.450195
07-01-2014,6162.25
08-01-2014,6174.600098
09-01-2014,6168.350098
10-01-2014,6171.450195
13-01-2014,6272.75
14-01-2014,6241.850098
15-01-2014,6320.899902
16-01-2014,6318.899902
17-01-2014,6261.649902
20-01-2014,6303.950195
21-01-2014,6313.799805
22-01-2014,6338.950195
23-01-2014,6345.649902
24-01-2014,6266.75
27-01-2014,6135.850098
28-01-2014,6126.25
29-01-2014,6120.25
30-01-2014,6073.700195
31-01-2014,6089.5
03-02-2014,6001.799805
04-02-2014,6000.899902
05-02-2014,6022.399902
06-02-2014,6036.299805
07-02-2014,6063.200195
10-02-2014,6053.450195
11-02-2014,6062.700195
12-02-2014,6084
13-02-2014,6001.100098
14-02-2014,6048.350098
17-02-2014,6048.350098
18-02-2014,6127.100098
19-02-2014,6152.75
20-02-2014,6091.450195
21-02-2014,6155.450195
24-02-2014,6186.100098
25-02-2014,6200.049805
26-02-2014,6238.799805
28-02-2014,6276.950195
03-03-2014,6221.450195
04-03-2014,6297.950195
05-03-2014,6328.649902
06-03-2014,6401.149902
07-03-2014,6526.649902
10-03-2014,6537.25
11-03-2014,6511.899902
12-03-2014,6516.899902
13-03-2014,6493.100098
14-03-2014,6504.200195
18-03-2014,6516.649902
19-03-2014,6524.049805
20-03-2014,6483.100098
21-03-2014,6493.200195
22-03-2014,6493.200195
24-03-2014,6583.5
25-03-2014,6589.75
26-03-2014,6601.399902
27-03-2014,6641.75
28-03-2014,6695.899902
31-03-2014,6704.200195
01-04-2014,6721.049805
02-04-2014,6752.549805
03-04-2014,6736.100098
04-04-2014,6694.350098
07-04-2014,6695.049805
09-04-2014,6796.200195
10-04-2014,6796.399902
11-04-2014,6776.299805
15-04-2014,6733.100098
16-04-2014,6675.299805
17-04-2014,6779.399902
21-04-2014,6817.649902
22-04-2014,6815.350098
23-04-2014,6840.799805
24-04-2014,6840.799805
25-04-2014,6782.75
28-04-2014,6761.25
29-04-2014,6715.25
30-04-2014,6696.399902
02-05-2014,6694.799805
05-05-2014,6699.350098
06-05-2014,6715.299805
07-05-2014,6652.549805
08-05-2014,6659.850098
09-05-2014,6858.799805
12-05-2014,7014.25
13-05-2014,7108.75
14-05-2014,7108.75
15-05-2014,7123.149902
16-05-2014,7203
19-05-2014,7263.549805
20-05-2014,7275.5
21-05-2014,7252.899902
22-05-2014,7276.399902
23-05-2014,7367.100098
26-05-2014,7359.049805
27-05-2014,7318
28-05-2014,7329.649902
29-05-2014,7235.649902
30-05-2014,7229.950195
02-06-2014,7362.5
03-06-2014,7415.850098
04-06-2014,7402.25
05-06-2014,7474.100098
06-06-2014,7583.399902
09-06-2014,7654.600098
10-06-2014,7656.399902
11-06-2014,7626.850098
12-06-2014,7649.899902
13-06-2014,7542.100098
16-06-2014,7533.549805
17-06-2014,7631.700195
18-06-2014,7558.200195
19-06-2014,7540.700195
20-06-2014,7511.450195
23-06-2014,7493.350098
24-06-2014,7580.200195
25-06-2014,7569.25
26-06-2014,7493.200195
27-06-2014,7508.799805
30-06-2014,7611.350098
01-07-2014,7634.700195
02-07-2014,7725.149902
03-07-2014,7714.799805
04-07-2014,7751.600098
07-07-2014,7787.149902
08-07-2014,7623.200195
09-07-2014,7585
10-07-2014,7567.75
11-07-2014,7459.600098
14-07-2014,7454.149902
15-07-2014,7526.649902
16-07-2014,7624.399902
17-07-2014,7640.450195
18-07-2014,7663.899902
21-07-2014,7684.200195
22-07-2014,7767.850098
23-07-2014,7795.75
24-07-2014,7830.600098
25-07-2014,7790.450195
28-07-2014,7748.700195
30-07-2014,7791.399902
31-07-2014,7721.299805
01-08-2014,7602.600098
04-08-2014,7683.649902
05-08-2014,7746.549805
06-08-2014,7672.049805
07-08-2014,7649.25
08-08-2014,7568.549805
11-08-2014,7625.950195
12-08-2014,7727.049805
13-08-2014,7739.549805
14-08-2014,7791.700195
18-08-2014,7874.25
19-08-2014,7897.5
20-08-2014,7875.299805
21-08-2014,7891.100098
22-08-2014,7913.200195
25-08-2014,7906.299805
26-08-2014,7904.75
27-08-2014,7936.049805
28-08-2014,7954.350098
01-09-2014,8027.700195
02-09-2014,8083.049805
03-09-2014,8114.600098
04-09-2014,8095.950195
05-09-2014,8086.850098
08-09-2014,8173.899902
09-09-2014,8152.950195
10-09-2014,8094.100098
11-09-2014,8085.700195
12-09-2014,8105.5
15-09-2014,8042
16-09-2014,7932.899902
17-09-2014,7975.5
18-09-2014,8114.75
19-09-2014,8121.450195
22-09-2014,8146.299805
23-09-2014,8017.549805
24-09-2014,8002.399902
25-09-2014,7911.850098
26-09-2014,7968.850098
29-09-2014,7958.899902
30-09-2014,7964.799805
01-10-2014,7945.549805
07-10-2014,7852.399902
08-10-2014,7842.700195
09-10-2014,7960.549805
10-10-2014,7859.950195
13-10-2014,7884.25
14-10-2014,7864
15-10-2014,7864
16-10-2014,7748.200195
17-10-2014,7779.700195
20-10-2014,7879.399902
21-10-2014,7927.75
22-10-2014,7995.899902
27-10-2014,7991.700195
28-10-2014,8027.600098
29-10-2014,8090.450195
30-10-2014,8169.200195
31-10-2014,8322.200195
03-11-2014,8324.150391
05-11-2014,8338.299805
07-11-2014,8337
10-11-2014,8344.25
11-11-2014,8362.650391
12-11-2014,8383.299805
13-11-2014,8357.849609
14-11-2014,8389.900391
17-11-2014,8430.75
18-11-2014,8425.900391
19-11-2014,8382.299805
20-11-2014,8401.900391
21-11-2014,8477.349609
24-11-2014,8530.150391
25-11-2014,8463.099609
26-11-2014,8475.75
27-11-2014,8494.200195
28-11-2014,8588.25
01-12-2014,8555.900391
02-12-2014,8524.700195
03-12-2014,8537.650391
04-12-2014,8564.400391
05-12-2014,8538.299805
08-12-2014,8438.25
09-12-2014,8340.700195
10-12-2014,8355.650391
11-12-2014,8292.900391
12-12-2014,8224.099609
15-12-2014,8219.599609
16-12-2014,8067.600098
17-12-2014,8029.799805
18-12-2014,8159.299805
19-12-2014,8225.200195
22-12-2014,8324
23-12-2014,8267
24-12-2014,8174.100098
26-12-2014,8200.700195
29-12-2014,8246.299805
30-12-2014,8248.25
