Date,^NSEI
2013-12-31,6089.5
2014-01-31,6276.9501953125
2014-02-28,6704.2001953125
2014-03-31,6696.39990234375
2014-04-30,7229.9501953125
2014-05-31,7611.35009765625
2014-06-30,7721.2998046875
2014-07-31,7954.35009765625
2014-08-31,7964.7998046875
2014-09-30,8322.2001953125
2014-10-31,8588.25
2014-11-30,8282.7001953125
2014-12-31,8808.900390625
2015-01-31,8844.599609375
2015-02-28,8491.0
2015-03-31,8181.5
2015-04-30,8433.650390625
2015-05-31,8368.5
2015-06-30,8532.849609375
2015-07-31,7971.2998046875
2015-08-31,7948.89990234375
2015-09-30,8065.7998046875
2015-10-31,7935.25
2015-11-30,7946.35009765625
2015-12-31,7563.5498046875
2016-01-31,6987.0498046875
2016-02-29,7738.39990234375
2016-03-31,7849.7998046875
2016-04-30,8160.10009765625
2016-05-31,8287.75
2016-06-30,8638.5
2016-07-31,8786.2001953125
2016-08-31,8611.150390625
2016-09-30,8638.0
2016-10-31,8224.5
2016-11-30,8185.7998046875
2016-12-31,8561.2998046875
2017-01-31,8879.599609375
2017-02-28,9173.75
2017-03-31,9304.0498046875
2017-04-30,9621.25
2017-05-31,9520.900390625
2017-06-30,10077.099609375
2017-07-31,9917.900390625
2017-08-31,9788.599609375
2017-09-30,10335.2998046875
2017-10-31,10226.5498046875
2017-11-30,10530.7001953125
2017-12-31,11027.7001953125
2018-01-31,10492.849609375
2018-02-28,10113.7001953125
2018-03-31,10739.349609375
2018-04-30,10736.150390625
2018-05-31,10714.2998046875
2018-06-30,11356.5
2018-07-31,11680.5
2018-08-31,10930.4501953125
2018-09-30,10386.599609375
2018-10-31,10876.75
2018-11-30,10862.5498046875
