Date,SBIN.BO,TITAN.BO,RELIANCE.BO,ICICIBANK.BO,AXISBANK.BO,LT.BO,ULTRACEMCO.BO,ITC.BO,ONGC.BO,INFY.BO
01-01-2014,168.0421143,221.5627899,421.3227234,181.0201263,248.5456543,629.7233276,1730.579224,181.1880798,144.4784851,361.1184998
02-01-2014,165.8717346,217.2428741,414.9935913,177.3416443,244.8898621,610.5765991,1696.917236,177.4191742,141.0432892,361.9883423
03-01-2014,163.3586578,218.106842,410.0867615,176.0055389,242.5616913,596.3490601,1694.614502,177.109787,138.3101959,371.4371338
06-01-2014,160.6504517,218.4428558,405.2984924,171.6672363,241.6573639,595.7894287,1686.480469,177.7566986,140.9680786,366.0981445
07-01-2014,157.9946136,216.5228882,399.2538452,173.1930542,237.4916687,600.3551636,1657.375488,178.1785736,138.4857025,360.1808472
08-01-2014,157.5805206,213.9309692,402.145813,173.869339,233.3548737,588.1895752,1663.108276,178.2067108,136.9812622,357.1701965
09-01-2014,156.0289001,214.7469177,403.2362061,173.4487457,227.9962463,572.4007568,1650.613525,177.4473267,140.5668488,359.5194092
10-01-2014,153.1493378,211.4349976,406.2466736,169.0032501,224.0710907,563.2103271,1639.441772,181.3849335,142.3220673,369.7131042
13-01-2014,156.3002014,212.2509918,416.723999,174.2240143,227.7076416,577.4084473,1641.744873,183.100647,146.5095062,381.8809204
14-01-2014,154.867569,211.8670044,417.719635,171.147644,226.2164612,572.9016724,1618.32373,182.3412323,145.4814606,384.2926331
15-01-2014,156.4524994,209.227066,419.7582092,174.5786743,226.6878815,588.4252319,1671.487061,184.7038422,146.0832367,386.5532837
16-01-2014,155.82901,209.3230591,419.639679,174.9910736,226.4569702,590.7817383,1710.881714,183.2131348,143.9268341,388.0273438
17-01-2014,154.405899,208.1710815,419.3552246,170.7270203,221.810257,589.8096313,1681.776611,182.7350159,144.1775665,388.3763428
20-01-2014,156.2097778,207.7871094,412.2201843,172.2280884,223.4938507,589.1322021,1685.50061,185.7444916,144.077301,390.6525879
21-01-2014,157.8851471,209.0830688,409.6364136,177.9519806,228.794754,595.7894287,1666.14624,185.0694733,143.9017944,391.2516174
22-01-2014,156.6619263,208.1710815,413.5002136,179.3128204,228.3618164,591.930481,1666.09729,184.1694031,145.2306976,392.4444885
23-01-2014,157.7375946,216.0428925,410.5845337,178.0014496,234.0283051,608.5735474,1675.455811,185.0413361,143.2999878,395.1217651
24-01-2014,154.3963623,209.8510437,411.0349426,174.5126801,232.2292633,592.5785522,1665.852173,182.3693542,142.0462799,391.605835
27-01-2014,151.7881012,207.1631165,399.5620117,166.6114197,223.1860046,577.2905884,1666.783203,182.510025,138.8618622,388.8503723
28-01-2014,151.9213867,208.1710815,400.9842834,168.1125031,215.8744202,579.9122925,1661.981201,184.0287933,138.1597595,383.0581055
29-01-2014,149.7985992,205.96315,396.6937561,165.2753143,219.2800751,585.0966187,1667.322266,182.8193817,138.9370422,387.2928772
30-01-2014,144.4583435,213.5469513,391.4551392,160.7885437,213.565506,577.4673462,1652.475586,182.5662231,136.6051178,385.9490051
31-01-2014,145.2246094,212.6829834,393.896637,163.0566711,215.4126434,580.5308838,1673.005859,182.8756409,138.1597595,385.3969116
03-02-2014,141.8215332,211.483017,389.3691101,158.9658356,216.0860901,577.2905884,1658.894287,180.2880402,134.4989166,378.0263367
04-02-2014,144.3108063,212.9709625,389.7009583,160.0215454,216.1245422,578.8813477,1642.136841,182.8193817,134.5490112,371.5621948
05-02-2014,144.7962799,212.1069946,386.9275818,159.3699493,215.7301025,579.8239136,1643.166016,179.4161377,135.4768066,373.1144409
06-02-2014,143.1922913,216.4748688,386.7853088,157.9595947,212.1993866,574.1682739,1665.019165,182.5943604,134.3484497,371.2288208
07-02-2014,145.3341064,216.6668854,386.0504761,158.6441498,216.6055603,578.4393921,1693.781494,181.919342,135.0254517,371.5674133
10-02-2014,144.1489716,221.7067566,389.511322,158.2812653,215.5184631,585.8036499,1689.371582,182.8193817,136.40448,371.7549438
11-02-2014,144.5487976,222.4747314,381.87854,159.8565521,215.9994965,584.2423706,1665.264282,182.8475037,138.3101959,374.5989075
12-02-2014,145.9004822,221.0827789,387.5438843,164.8299103,215.3452911,594.2870483,1673.790039,180.1755371,141.7704315,374.9948425
13-02-2014,142.7543945,220.0748138,382.8029785,161.8524933,211.8819275,580.9432373,1653.063477,178.1785736,137.1066132,373.6248779
14-02-2014,140.4174347,222.3307648,389.4639282,163.0401459,212.170517,585.0377197,1631.847168,179.8942566,138.3101959,379.7869568
17-02-2014,140.2556152,219.5948334,384.6993408,166.5124512,214.6045074,588.0422363,1631.651245,179.978653,139.037323,381.5214844
18-02-2014,142.6972961,219.402832,385.3156738,171.1806488,224.080719,599.942749,1657.816406,178.5442352,138.911972,383.370636
