"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"COALINDIA","28-Dec-2018","28-Mar-2019","CE","345","0","0","0","0.15","0","0.05","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","CE","185","0","0","0","68.7","0","60.8","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","CE","190","0","0","0","63.85","0","56","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","CE","195","0","0","0","59.05","0","51.2","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","CE","200","0","0","0","54.3","0","46.55","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","CE","205","0","0","0","49.6","0","41.95","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","CE","210","0","0","0","45","0","37.55","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","CE","215","0","0","0","40.6","0","33.25","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","CE","220","0","0","0","36.3","0","29.2","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","CE","225","0","0","0","32.2","0","25.4","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","CE","230","0","0","0","28.35","0","21.9","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","CE","235","0","0","0","24.75","0","18.65","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","CE","240","0","0","0","21.35","0","15.75","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","CE","245","0","0","0","18.3","0","13.15","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","CE","250","0","0","0","15.55","0","10.85","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","CE","255","0","0","0","13.1","0","8.85","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","CE","260","0","0","0","10.9","0","7.15","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","CE","265","0","0","0","9","0","5.75","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","CE","270","0","0","0","7.4","0","4.55","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","CE","275","0","0","0","6","0","3.6","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","CE","280","0","0","0","4.85","0","2.8","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","CE","285","0","0","0","3.85","0","2.15","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","CE","290","0","0","0","3.05","0","1.65","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","CE","295","0","0","0","2.4","0","1.25","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","CE","300","0","0","0","1.85","0","0.95","0","0","0","0","0","242.3"
