"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"COALINDIA","28-Dec-2018","28-Mar-2019","PE","345","0","0","0","88.6","0","96.45","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","PE","340","0","0","0","83.75","0","91.6","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","PE","190","0","0","0","0.15","0","0.2","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","PE","195","0","0","0","0.25","0","0.35","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","PE","200","0","0","0","0.4","0","0.6","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","PE","205","0","0","0","0.6","0","0.9","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","PE","210","0","0","0","0.95","0","1.4","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","PE","215","0","0","0","1.4","0","2.05","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","PE","220","0","0","0","2.05","0","2.9","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","PE","225","0","0","0","2.85","0","4","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","PE","230","0","0","0","3.9","0","5.4","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","PE","235","0","0","0","5.2","0","7.05","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","PE","240","0","0","0","6.75","0","9.05","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","PE","245","0","0","0","8.6","0","11.35","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","PE","250","0","0","0","10.75","0","14","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","PE","255","0","0","0","13.2","0","16.9","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","PE","260","0","0","0","15.9","0","20.15","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","PE","265","0","0","0","18.95","0","23.6","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","PE","270","0","0","0","22.2","0","27.35","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","PE","275","0","0","0","25.7","0","31.25","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","PE","280","0","0","0","29.5","0","35.35","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","PE","285","0","0","0","33.4","0","39.65","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","PE","290","0","0","0","37.5","0","44.05","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","PE","295","0","0","0","41.75","0","48.55","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","PE","300","0","0","0","46.15","0","53.15","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","PE","305","0","0","0","50.65","0","57.85","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","PE","310","0","0","0","55.2","0","62.55","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","PE","315","0","0","0","59.85","0","67.35","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","PE","320","0","0","0","64.55","0","72.15","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","PE","325","0","0","0","69.3","0","77","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","PE","330","0","0","0","74.1","0","81.85","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","PE","335","0","0","0","78.9","0","86.7","0","0","0","0","0","242.3"
"COALINDIA","28-Dec-2018","28-Mar-2019","PE","185","0","0","0","0.1","0","0.15","0","0","0","0","0","242.3"
"COALINDIA","31-Dec-2018","28-Mar-2019","PE","345","0","0","0","88.6","0","98.2","0","0","0","0","0","240.75"
"COALINDIA","31-Dec-2018","28-Mar-2019","PE","185","0","0","0","0.1","0","0.1","0","0","0","0","0","240.75"
"COALINDIA","31-Dec-2018","28-Mar-2019","PE","190","0","0","0","0.15","0","0.2","0","0","0","0","0","240.75"
"COALINDIA","31-Dec-2018","28-Mar-2019","PE","195","0","0","0","0.25","0","0.35","0","0","0","0","0","240.75"
"COALINDIA","31-Dec-2018","28-Mar-2019","PE","200","0","0","0","0.4","0","0.55","0","0","0","0","0","240.75"
"COALINDIA","31-Dec-2018","28-Mar-2019","PE","205","0","0","0","0.6","0","0.85","0","0","0","0","0","240.75"
"COALINDIA","31-Dec-2018","28-Mar-2019","PE","210","0","0","0","0.95","0","1.35","0","0","0","0","0","240.75"
"COALINDIA","31-Dec-2018","28-Mar-2019","PE","215","0","0","0","1.4","0","2","0","0","0","0","0","240.75"
"COALINDIA","31-Dec-2018","28-Mar-2019","PE","220","0","0","0","2.05","0","2.9","0","0","0","0","0","240.75"
"COALINDIA","31-Dec-2018","28-Mar-2019","PE","225","0","0","0","2.85","0","4.05","0","0","0","0","0","240.75"
