Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value
GRASIM,28-Dec-18,28-Mar-19,CE,620,0,0,0,208.6,0,218.55,0,0,0,0,0,824.6
GRASIM,28-Dec-18,28-Mar-19,CE,860,0,0,0,47.8,0,51.5,0,0,0,0,0,824.6
GRASIM,28-Dec-18,28-Mar-19,CE,840,0,0,0,55.85,0,60.1,0,0,0,0,0,824.6
GRASIM,28-Dec-18,28-Mar-19,CE,1140,0,0,0,3.25,0,3.5,0,0,0,0,0,824.6
GRASIM,28-Dec-18,28-Mar-19,CE,680,0,0,0,156.55,0,165.4,0,0,0,0,0,824.6
GRASIM,28-Dec-18,28-Mar-19,CE,1120,0,0,0,4.05,0,4.35,0,0,0,0,0,824.6
GRASIM,28-Dec-18,28-Mar-19,CE,820,0,0,0,64.9,0,69.75,0,0,0,0,0,824.6
GRASIM,28-Dec-18,28-Mar-19,CE,1100,0,0,0,5.05,0,5.4,0,0,0,0,0,824.6
GRASIM,28-Dec-18,28-Mar-19,CE,1180,0,0,0,2.1,0,2.25,0,0,0,0,0,824.6
GRASIM,28-Dec-18,28-Mar-19,CE,1080,0,0,0,6.2,0,6.7,0,0,0,0,0,824.6
GRASIM,28-Dec-18,28-Mar-19,CE,800,0,0,0,74.95,0,80.4,0,0,0,0,0,824.6
GRASIM,28-Dec-18,28-Mar-19,CE,1060,0,0,0,7.65,0,8.25,0,0,0,0,0,824.6
GRASIM,28-Dec-18,28-Mar-19,CE,660,0,0,0,173.3,0,182.55,0,0,0,0,0,824.6
GRASIM,28-Dec-18,28-Mar-19,CE,1040,0,0,0,9.35,0,10.1,0,0,0,0,0,824.6
GRASIM,28-Dec-18,28-Mar-19,CE,780,0,0,0,86.05,0,92.1,0,0,0,0,0,824.6
GRASIM,28-Dec-18,28-Mar-19,CE,1020,0,0,0,11.45,0,12.35,0,0,0,0,0,824.6
GRASIM,28-Dec-18,28-Mar-19,CE,600,0,0,0,227.05,0,237.25,0,0,0,0,0,824.6
GRASIM,28-Dec-18,28-Mar-19,CE,1000,0,0,0,13.9,0,15,0,0,0,0,0,824.6
GRASIM,28-Dec-18,28-Mar-19,CE,760,0,0,0,98.2,0,104.85,0,0,0,0,0,824.6
GRASIM,28-Dec-18,28-Mar-19,CE,980,0,0,0,16.8,0,18.15,0,0,0,0,0,824.6
GRASIM,28-Dec-18,28-Mar-19,CE,640,0,0,0,190.65,0,200.3,0,0,0,0,0,824.6
GRASIM,28-Dec-18,28-Mar-19,CE,960,0,0,0,20.25,0,21.95,0,0,0,0,0,824.6
GRASIM,28-Dec-18,28-Mar-19,CE,740,0,0,0,111.4,0,118.65,0,0,0,0,0,824.6
GRASIM,28-Dec-18,28-Mar-19,CE,940,0,0,0,24.35,0,26.3,0,0,0,0,0,824.6
GRASIM,28-Dec-18,28-Mar-19,CE,560,0,0,0,264.9,0,275.4,0,0,0,0,0,824.6
GRASIM,28-Dec-18,28-Mar-19,CE,920,0,0,0,29,0,31.3,0,0,0,0,0,824.6
GRASIM,28-Dec-18,28-Mar-19,CE,720,0,0,0,125.55,0,133.35,0,0,0,0,0,824.6
GRASIM,28-Dec-18,28-Mar-19,CE,900,0,0,0,34.4,0,37.2,0,0,0,0,0,824.6
GRASIM,28-Dec-18,28-Mar-19,CE,580,0,0,0,245.85,0,256.2,0,0,0,0,0,824.6
GRASIM,28-Dec-18,28-Mar-19,CE,880,0,0,0,40.65,0,43.9,0,0,0,0,0,824.6
GRASIM,28-Dec-18,28-Mar-19,CE,700,0,0,0,140.6,0,148.95,0,0,0,0,0,824.6
GRASIM,28-Dec-18,28-Mar-19,CE,1160,0,0,0,2.65,0,2.8,0,0,0,0,0,824.6
GRASIM,31-Dec-18,28-Mar-19,CE,1180,0,0,0,2.1,0,1.7,0,0,0,0,0,825.6
GRASIM,31-Dec-18,28-Mar-19,CE,1160,0,0,0,2.65,0,2.15,0,0,0,0,0,825.6
GRASIM,31-Dec-18,28-Mar-19,CE,1140,0,0,0,3.25,0,2.75,0,0,0,0,0,825.6
GRASIM,31-Dec-18,28-Mar-19,CE,1120,0,0,0,4.05,0,3.5,0,0,0,0,0,825.6
GRASIM,31-Dec-18,28-Mar-19,CE,1100,0,0,0,5.05,0,4.4,0,0,0,0,0,825.6
GRASIM,31-Dec-18,28-Mar-19,CE,1080,0,0,0,6.2,0,5.55,0,0,0,0,0,825.6
GRASIM,31-Dec-18,28-Mar-19,CE,1060,0,0,0,7.65,0,6.95,0,0,0,0,0,825.6
GRASIM,31-Dec-18,28-Mar-19,CE,1040,0,0,0,9.35,0,8.65,0,0,0,0,0,825.6
GRASIM,31-Dec-18,28-Mar-19,CE,1020,0,0,0,11.45,0,10.7,0,0,0,0,0,825.6
GRASIM,31-Dec-18,28-Mar-19,CE,1000,0,0,0,13.9,0,13.2,0,0,0,0,0,825.6
GRASIM,31-Dec-18,28-Mar-19,CE,980,0,0,0,16.8,0,16.2,0,0,0,0,0,825.6
GRASIM,31-Dec-18,28-Mar-19,CE,960,0,0,0,20.25,0,19.75,0,0,0,0,0,825.6
GRASIM,31-Dec-18,28-Mar-19,CE,940,0,0,0,24.35,0,24,0,0,0,0,0,825.6
GRASIM,31-Dec-18,28-Mar-19,CE,920,0,0,0,29,0,28.95,0,0,0,0,0,825.6
GRASIM,31-Dec-18,28-Mar-19,CE,900,0,0,0,34.4,0,34.7,0,0,0,0,0,825.6
GRASIM,31-Dec-18,28-Mar-19,CE,880,0,0,0,40.65,0,41.35,0,0,0,0,0,825.6
GRASIM,31-Dec-18,28-Mar-19,CE,860,0,0,0,47.8,0,48.95,0,0,0,0,0,825.6
GRASIM,31-Dec-18,28-Mar-19,CE,840,0,0,0,55.85,0,57.6,0,0,0,0,0,825.6
GRASIM,31-Dec-18,28-Mar-19,CE,820,0,0,0,64.9,0,67.3,0,0,0,0,0,825.6
