"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"GRASIM","28-Dec-2018","28-Mar-2019","PE","560","0","0","0","0.85","0","0.6","0","0","0","0","0","824.6"
"GRASIM","28-Dec-2018","28-Mar-2019","PE","1160","0","0","0","327.5","0","317","0","0","0","0","0","824.6"
"GRASIM","28-Dec-2018","28-Mar-2019","PE","1140","0","0","0","308.5","0","298.1","0","0","0","0","0","824.6"
"GRASIM","28-Dec-2018","28-Mar-2019","PE","1120","0","0","0","289.7","0","279.3","0","0","0","0","0","824.6"
"GRASIM","28-Dec-2018","28-Mar-2019","PE","1100","0","0","0","271","0","260.7","0","0","0","0","0","824.6"
"GRASIM","28-Dec-2018","28-Mar-2019","PE","1080","0","0","0","252.55","0","242.35","0","0","0","0","0","824.6"
"GRASIM","28-Dec-2018","28-Mar-2019","PE","1060","0","0","0","234.35","0","224.3","0","0","0","0","0","824.6"
"GRASIM","28-Dec-2018","28-Mar-2019","PE","1040","0","0","0","216.45","0","206.5","0","0","0","0","0","824.6"
"GRASIM","28-Dec-2018","28-Mar-2019","PE","1020","0","0","0","198.9","0","189.1","0","0","0","0","0","824.6"
"GRASIM","28-Dec-2018","28-Mar-2019","PE","1000","0","0","0","181.7","0","172.15","0","0","0","0","0","824.6"
"GRASIM","28-Dec-2018","28-Mar-2019","PE","980","0","0","0","165","0","155.7","0","0","0","0","0","824.6"
"GRASIM","28-Dec-2018","28-Mar-2019","PE","960","0","0","0","148.85","0","139.8","0","0","0","0","0","824.6"
"GRASIM","28-Dec-2018","28-Mar-2019","PE","940","0","0","0","133.25","0","124.55","0","0","0","0","0","824.6"
"GRASIM","28-Dec-2018","28-Mar-2019","PE","920","0","0","0","118.3","0","109.95","0","0","0","0","0","824.6"
"GRASIM","28-Dec-2018","28-Mar-2019","PE","900","0","0","0","104.1","0","96.15","0","0","0","0","0","824.6"
"GRASIM","28-Dec-2018","28-Mar-2019","PE","880","0","0","0","90.7","0","83.25","0","0","0","0","0","824.6"
